title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
short,Twelve Months After,"Comedy,Short",,21,7.0
short,Tickling the Soles of Her Feet,"Comedy,Short",,21,6.3
short,The Clown Barber,"Comedy,Short",,31,5.1
short,Farmer Kissing the Lean Girl,"Comedy,Short",,41,4.6
short,L'aveugle fin de siècle,"Comedy,Short",1.0,238,5.1
short,What Demoralized the Barber Shop,"Comedy,Short",,171,5.1
short,Pygmalion and Galatea,"Fantasy,Short",2.0,181,5.2
short,"Corpus Christi Procession, Orvieto","Documentary,Short",,26,3.9
short,Wounded Soldiers Embarking in Row Boats,"Documentary,Short",,72,3.8
short,Neapolitan Dance at the Ancient Forum of Pompeii,"Documentary,Short",,31,4.8
short,Lourdes,"Documentary,Short",,30,3.8
short,"Pope Leo XIII Being Carried in Chair Through Upper Loggia, No. 101","Documentary,Short",,25,4.8
short,"Pope Leo XIII Seated in Garden, No. 105","Documentary,Short",,16,3.3
short,Cuban Volunteers Marching for Rations,"Documentary,Short",,41,3.7
short,Qafqaz va merkuri camiyyatina maxsus paroxodun limandan yola düsmasi,"Documentary,Short",1.0,13,5.2
short,Freight Train,"Documentary,Short",1.0,108,4.3
short,9th Infantry Boys' Morning Wash,"Documentary,Short",,144,3.5
short,A Terrible Spill,"Documentary,Short",,13,4.3
short,"Military Camp at Tampa, Taken from Train","Documentary,Short",,95,4.1
short,De boulevard van Scheveningen,"Documentary,Short",,52,4.3
short,Leçons de boxe,"Comedy,Short,Sport",1.0,31,4.8
short,The Fat Man and the Treacherous Springboard,"Comedy,Romance,Short",,36,6.4
short,Roosevelt's Rough Riders Embarking for Santiago,"Documentary,News,Short",,113,4.0
short,The Launch of HMS Albion at Blackwall,"Documentary,News,Short",1.0,72,5.4
short,Fregoli soldato I,Short,1.0,13,4.7
short,Een trambestorming op zondag op den dam,Short,,31,4.1
short,Suicide of Colonel Henry,Short,1.0,282,5.3
short,The Demon Barber,Short,,23,6.8
short,Dancing Niggers,Short,,116,7.0
short,Landing of Dreyfus at Quiberon,Short,1.0,261,5.3
short,Danse Japonaise: Gueichas en Jinrikcha,Short,1.0,99,4.8
short,The Inexhaustible Cab,"Comedy,Short",,32,4.8
short,Maple Leaf Viewing,"Horror,Short",6.0,225,5.8
short,"Upside Down; or, the Human Flies","Fantasy,Short",1.0,180,6.1
short,A Dinner Under Difficulties,"Fantasy,Short",,43,4.8
short,Surprising a Picket,"Drama,Short,War",,21,4.0
short,Reproduction of the Corbett and Jeffries Fight,"News,Short,Sport",,53,4.2
short,'Shamrock' and 'Erin' Sailing,"News,Short,Sport",2.0,37,4.1
short,Man Overboard!,"Documentary,Short",1.0,30,4.7
short,Catching the Ferry in Amsterdam,"Documentary,Short",,15,4.8
short,Chasse au Renard: Le Départ,"Documentary,Short",1.0,83,4.6
short,The Dandy Fifth,"Documentary,Short",1.0,78,3.5
short,Audience Leaving Circus Carré After the Biograph Show in Amsterdam,"Documentary,Short",,14,5.0
short,The Landing of Savage South Africa at Southampton,"Documentary,Short",,26,4.2
short,Tourists Going Round Yellowstone Park,"Documentary,Short",1.0,118,3.3
short,"Panoramic View, Horseshoe Curve, Penna. R.R., No. 2","Documentary,Short",,18,4.6
short,Panorama of Calcutta,"Documentary,Short",2.0,146,5.4
short,Stealing a Dinner,"Comedy,Fantasy,Short",,105,4.4
short,In a Chinese Restaurant,Short,,32,4.6
short,The Triple Conjurer and the Living Head,Short,1.0,514,6.2
short,La concierge,"Comedy,Short",1.0,196,5.2
short,Trouble in Hogan's Alley,"Comedy,Short",,35,4.8
short,Let Me Dream Again,"Comedy,Short",1.0,793,5.8
short,An Artist's Dream,"Comedy,Short",1.0,127,4.7
short,Guillaume Tell,"Comedy,Short",1.0,19,4.6
short,Ghosts in a Chinese Laundry,"Fantasy,Short",,25,4.8
short,Naval Apprentices at Sail Drill on Historic Ship 'Constellation',"Documentary,Short",2.0,77,3.1
short,A bord du 'Tonkin' - Le saut à la corde,"Documentary,Short",1.0,65,4.7
short,"Army Life; or, How Soldiers Are Made: Mounted Infantry","Documentary,Short",,134,4.8
short,Southampton High Street,"Documentary,Short",,16,5.3
short,How They Rob Men in Chicago,"Comedy,Crime,Short",1.0,161,5.7
short,The Bachelor's Paradise,Short,2.0,307,5.6
short,Quo Vadis?,Short,1.0,22,6.2
short,"AAA Championships at Fartown, Huddersfield","Short,Sport",4.0,33,5.4
short,"Tynemouth Swimming Gala in the Haven, North Shields","Short,Sport",3.0,37,5.2
short,President Roosevelt at the Army-Navy Game,"News,Short,Sport",,45,3.3
short,Mounted Police Charge,"Documentary,Short",,18,4.2
short,La Plage et l'Etablissement,"Documentary,Short",1.0,73,4.4
short,Ride on the Tramcar Through Belfast,"Documentary,Short",2.0,107,5.7
short,"Cutting Sugar Cane, Honolulu","Documentary,Short",,65,3.3
short,Horse Parade at the Pan-American Exposition,"Documentary,Short",3.0,63,3.9
short,Royal Visit of the Duke and Duchess of Cornwall and York to New Zealand,"Documentary,Short",8.0,19,4.7
short,"Panorama of Brooklyn Bridge, River Front, and Tall Buildings from the East River","Documentary,Short",,14,5.0
short,A Perilous Proceeding,"Documentary,Short",1.0,68,5.3
short,Chamonix: Le Mauvais Pas,"Documentary,Short",1.0,220,5.3
short,"Taking President McKinley's Body from Train at Canton, Ohio","Documentary,News,Short",1.0,62,4.9
short,Danseuses Cambodgiennes du roi Norodom,Short,1.0,43,5.2
short,Les Harry-Alaska au restaurant chinois,Short,,6,5.8
short,"Congregation Leaving Jesuit Church of St. Francis Xavier, Dublin",Short,4.0,32,4.5
short,"Coronation of Their Majesties King Edward VII and Queen Alexandra, Second Scene","News,Short",,12,6.2
short,The Interrupted Bathers,"Comedy,Short",1.0,206,4.4
short,Indian Review: Grand March Past,"Documentary,Short",,15,3.7
short,In a German Bath,"Documentary,Short",1.0,24,5.3
short,Policeman and Automobile,"Comedy,Fantasy,Short",2.0,106,5.7
short,Notts County v. Middlesbrough,"Documentary,Short,Sport",2.0,32,4.6
short,Life of a London Fireman,Short,,23,6.4
